iter	Passed	Remaining
0	2	2220
1	4	2089
2	6	2137
3	8	2147
4	10	2147
5	13	2174
6	15	2144
7	17	2112
8	19	2110
9	21	2148
10	23	2127
11	25	2123
12	28	2128
13	29	2104
14	32	2105
15	34	2142
16	37	2142
17	39	2128
18	41	2124
19	43	2113
20	45	2113
21	47	2115
22	49	2121
23	52	2122
24	54	2116
25	56	2112
26	59	2127
27	61	2124
28	62	2107
29	64	2092
30	66	2081
31	68	2080
32	71	2090
33	73	2078
34	75	2070
35	76	2059
36	79	2057
37	81	2058
38	83	2051
39	85	2049
40	87	2038
41	89	2031
42	91	2030
43	93	2031
44	96	2038
45	98	2033
46	99	2022
47	101	2014
48	103	2013
49	105	2008
50	108	2009
51	109	2004
52	111	2000
53	113	1992
54	115	1990
55	117	1987
56	120	1985
57	122	1991
58	124	1984
59	126	1978
60	128	1981
61	130	1978
62	133	1983
63	135	1979
64	137	1976
65	139	1975
66	141	1971
67	142	1958
68	145	1959
69	147	1956
70	149	1952
71	151	1947
72	153	1945
73	155	1941
74	157	1942
75	159	1940
76	161	1937
77	163	1935
78	165	1931
79	167	1927
80	169	1926
81	171	1923
82	173	1917
83	175	1913
84	176	1904
85	178	1900
86	180	1890
87	182	1892
88	184	1890
89	187	1892
90	189	1889
91	191	1887
92	193	1887
93	195	1886
94	197	1882
95	199	1882
96	201	1879
97	203	1875
98	205	1874
99	208	1873
100	210	1870
101	211	1860
102	213	1858
103	215	1853
104	217	1852
105	219	1850
106	221	1848
107	223	1845
108	225	1842
109	227	1838
110	229	1836
111	231	1834
112	233	1833
113	235	1829
114	237	1826
115	238	1821
116	241	1819
117	243	1821
118	245	1817
119	247	1815
120	249	1812
121	251	1809
122	252	1800
123	254	1799
124	257	1799
125	258	1796
126	260	1792
127	262	1786
128	264	1783
129	266	1781
130	268	1780
131	270	1778
132	272	1774
133	274	1772
134	276	1769
135	278	1768
136	280	1767
137	282	1763
138	284	1761
139	286	1759
140	288	1756
141	290	1754
142	292	1752
143	294	1750
144	296	1747
145	298	1746
146	300	1742
147	302	1739
148	304	1739
149	306	1737
150	308	1733
151	310	1731
152	312	1727
153	314	1726
154	317	1728
155	319	1726
156	321	1724
157	323	1722
158	324	1718
159	326	1716
160	329	1715
161	331	1714
162	333	1712
163	335	1708
164	336	1704
165	339	1703
166	341	1705
167	343	1702
168	345	1701
169	347	1698
170	349	1695
171	351	1692
172	354	1694
173	356	1691
174	358	1689
175	359	1685
176	361	1683
177	364	1681
178	366	1680
179	368	1678
180	369	1672
181	371	1670
182	374	1669
183	375	1667
184	377	1665
185	380	1665
186	382	1662
187	384	1660
188	385	1656
189	387	1653
190	389	1651
191	393	1654
192	395	1651
193	396	1648
194	398	1646
195	400	1644
196	402	1642
197	405	1641
198	406	1637
199	408	1633
200	410	1632
201	412	1629
202	414	1628
203	417	1627
204	419	1625
205	421	1623
206	422	1620
207	424	1616
208	426	1614
209	428	1612
210	430	1610
211	432	1608
212	434	1606
213	436	1603
214	438	1600
215	440	1598
216	443	1599
217	445	1597
218	446	1594
219	448	1590
220	450	1588
221	452	1585
222	454	1585
223	456	1582
224	458	1580
225	460	1577
226	462	1574
227	463	1571
228	466	1571
229	468	1569
230	470	1566
231	472	1564
232	474	1562
233	476	1559
234	478	1558
235	480	1556
236	482	1553
237	485	1552
238	486	1550
239	488	1547
